世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,A02,正常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.8312174834106981,0.995326278659612,0.9747272139637919,0.8853607702238191,0.981994130245102,0.9885924841632385,0.9917639147118161,0.9942389860615468,0.0,无缺失,summary.json:全部:A02|normal_fraction|all_frames|all:sequence_equal,0.8853607702238191,0.8853607702238191,0.981994130245102,0.981994130245102,0.9885924841632385,0.9885924841632385,0.9917639147118161,0.9917639147118161,0.9942389860615468,0.9942389860615468
全部,A02,正常点数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,106725.0,128183.0,121954.68652561247,113407.0,119165.0,123311.0,125169.0,125783.0,0.0,无缺失,summary.json:全部:A02|normal|all_frames|all:observation_equal,113407.0,113407.0,119165.0,119165.0,123311.0,123311.0,125169.0,125169.0,125783.0,125783.0
全部,A02,正常点数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,106725.0,128183.0,121954.68652561247,113407.0,119165.0,123311.0,125169.0,125783.0,0.0,无缺失,summary.json:全部:A02|normal|all_frames|all:frame_equal,113407.0,113407.0,119165.0,119165.0,123311.0,123311.0,125169.0,125169.0,125783.0,125783.0
全部,A02,正常点数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,106725.0,128183.0,121954.68652561249,113407.0,119165.0,123317.0,125169.0,125783.0,0.0,无缺失,summary.json:全部:A02|normal|all_frames|all:sequence_equal,113407.0,113407.0,119165.0,119165.0,123317.0,123317.0,125169.0,125169.0,125783.0,125783.0
全部,A02,原始槽数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,0.0,无缺失,summary.json:全部:A02|slots|all_frames|all:observation_equal,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
全部,A02,原始槽数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,0.0,无缺失,summary.json:全部:A02|slots|all_frames|all:frame_equal,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
全部,A02,原始槽数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,0.0,无缺失,summary.json:全部:A02|slots|all_frames|all:sequence_equal,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
全部,A02,实际回波占原始槽比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.9013214111328125,0.9854660034179688,0.9548958946177052,0.9069747924804688,0.9424514770507812,0.9640579223632812,0.9681549072265625,0.9823150634765625,0.0,无缺失,summary.json:全部:A02|visible_fraction|all_frames|all:observation_equal,0.9069747924804688,0.9069747924804688,0.9424514770507812,0.9424514770507812,0.9640579223632812,0.9640579223632812,0.9681549072265625,0.9681549072265625,0.9823150634765625,0.9823150634765625
全部,A02,实际回波占原始槽比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.9013214111328125,0.9854660034179688,0.9548958946177052,0.9069747924804688,0.9424514770507812,0.9640579223632812,0.9681549072265625,0.9823150634765625,0.0,无缺失,summary.json:全部:A02|visible_fraction|all_frames|all:frame_equal,0.9069747924804688,0.9069747924804688,0.9424514770507812,0.9424514770507812,0.9640579223632812,0.9640579223632812,0.9681549072265625,0.9681549072265625,0.9823150634765625,0.9823150634765625
全部,A02,实际回波占原始槽比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.9013214111328125,0.9854660034179688,0.9548958946177051,0.9069747924804688,0.9424514770507812,0.9640579223632812,0.9681625366210938,0.9823150634765625,0.0,无缺失,summary.json:全部:A02|visible_fraction|all_frames|all:sequence_equal,0.9069747924804688,0.9069747924804688,0.9424514770507812,0.9424514770507812,0.9640579223632812,0.9640579223632812,0.9681625366210938,0.9681625366210938,0.9823150634765625,0.9823150634765625
全部,A02,实际回波数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,118138.0,129167.0,125160.11469933185,118879.0,123529.0,126361.0,126898.0,128754.0,0.0,无缺失,summary.json:全部:A02|visible|all_frames|all:observation_equal,118879.0,118879.0,123529.0,123529.0,126361.0,126361.0,126898.0,126898.0,128754.0,128754.0
全部,A02,实际回波数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,118138.0,129167.0,125160.11469933185,118879.0,123529.0,126361.0,126898.0,128754.0,0.0,无缺失,summary.json:全部:A02|visible|all_frames|all:frame_equal,118879.0,118879.0,123529.0,123529.0,126361.0,126361.0,126898.0,126898.0,128754.0,128754.0
全部,A02,实际回波数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,118138.0,129167.0,125160.11469933184,118879.0,123529.0,126361.0,126899.0,128754.0,0.0,无缺失,summary.json:全部:A02|visible|all_frames|all:sequence_equal,118879.0,118879.0,123529.0,123529.0,126361.0,126361.0,126899.0,126899.0,128754.0,128754.0
全部,A02,零坐标槽比例,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.01453399658203125,0.0986785888671875,0.045104105382294854,0.0176849365234375,0.03183746337890625,0.03594207763671875,0.05754852294921875,0.09302520751953125,0.0,无缺失,summary.json:全部:A02|zero_slot_fraction|all_frames|all:observation_equal,0.0176849365234375,0.0176849365234375,0.03183746337890625,0.03183746337890625,0.03594207763671875,0.03594207763671875,0.05754852294921875,0.05754852294921875,0.09302520751953125,0.09302520751953125
全部,A02,零坐标槽比例,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.01453399658203125,0.0986785888671875,0.045104105382294854,0.0176849365234375,0.03183746337890625,0.03594207763671875,0.05754852294921875,0.09302520751953125,0.0,无缺失,summary.json:全部:A02|zero_slot_fraction|all_frames|all:frame_equal,0.0176849365234375,0.0176849365234375,0.03183746337890625,0.03183746337890625,0.03594207763671875,0.03594207763671875,0.05754852294921875,0.05754852294921875,0.09302520751953125,0.09302520751953125
全部,A02,零坐标槽比例,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,比例或比值,0.0,0.0,0.01453399658203125,0.0986785888671875,0.045104105382294854,0.0176849365234375,0.0318450927734375,0.03594207763671875,0.05754852294921875,0.09302520751953125,0.0,无缺失,summary.json:全部:A02|zero_slot_fraction|all_frames|all:sequence_equal,0.0176849365234375,0.0176849365234375,0.0318450927734375,0.0318450927734375,0.03594207763671875,0.03594207763671875,0.05754852294921875,0.05754852294921875,0.09302520751953125,0.09302520751953125
全部,A02,零坐标槽数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,1905.0,12934.0,5911.885300668151,2318.0,4173.0,4711.0,7543.0,12193.0,0.0,无缺失,summary.json:全部:A02|zero_slots|all_frames|all:observation_equal,2318.0,2318.0,4173.0,4173.0,4711.0,4711.0,7543.0,7543.0,12193.0,12193.0
全部,A02,零坐标槽数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,1905.0,12934.0,5911.885300668151,2318.0,4173.0,4711.0,7543.0,12193.0,0.0,无缺失,summary.json:全部:A02|zero_slots|all_frames|all:frame_equal,2318.0,2318.0,4173.0,4173.0,4711.0,4711.0,7543.0,7543.0,12193.0,12193.0
