threshold,precision_pct,recall_pct,fpr_pct,TP,FP
24.25,100.0,0.002285740408461811,0.0,2,0
24.125,100.0,0.0034286106126927163,0.0,3,0
23.75,100.0,0.005714351021154527,0.0,5,0
23.625,100.0,0.006857221225385433,0.0,6,0
23.5,100.0,0.012571572246539962,0.0,11,0
23.375,100.0,0.01485731265500177,0.0,13,0
23.25,100.0,0.024000274288849016,0.0,21,0
23.125,100.0,0.028571755105772638,0.0,25,0
23.0,100.0,0.04000045714808169,0.0,35,0
22.875,100.0,0.046857678373467125,0.0,41,0
22.75,100.0,0.05371489959885256,0.0,47,0
22.625,100.0,0.06628647184539252,0.0,58,0
22.5,100.0,0.07771517388770158,0.0,68,0
22.375,94.18604651162791,0.09257248654270335,2.580079607840284e-06,81,5
22.25,92.45283018867924,0.11200128001462874,4.128127372544454e-06,98,8
22.125,90.97744360902256,0.13828729471193957,6.192191058816682e-06,121,12
22.0,79.65116279069767,0.15657321797963406,1.806055725488199e-05,137,35
21.875,80.0,0.2011451559446394,2.2704700548994498e-05,176,44
21.75,78.62595419847328,0.23543126207156653,2.889689160781118e-05,206,56
21.625,76.84887459807074,0.2731459788111864,3.715314635290009e-05,239,72
21.5,78.0281690140845,0.31657504657196084,4.024924188230843e-05,277,78
21.375,78.4841075794621,0.36686133555812067,4.5409401097988995e-05,321,88
21.25,75.79365079365078,0.4365764180162059,6.295394243130294e-05,382,122
21.125,72.26890756302521,0.4914341878192893,8.514262705872937e-05,430,165
21.0,70.43235704323571,0.5771494531366073,0.00010939537537242804,505,212
20.875,68.97374701670644,0.6605789780454634,0.00013416413960769477,578,260
20.75,69.70010341261634,0.7702945176516304,0.00015119266501944064,674,293
20.625,68.78923766816143,0.8765814466451045,0.00017957354070568377,767,348
20.5,69.05689789555728,1.0125830009485823,0.00020485832086251856,886,397
20.375,68.07511737089203,1.160013257294369,0.00024562357866639506,1015,476
20.25,68.73138773079214,1.3188722156824648,0.0002709083588232298,1154,525
20.125,69.23884514435696,1.5074457993805643,0.0003023853300388813,1319,586
20.0,69.77840641206978,1.6914479022617401,0.0003307662057251244,1480,641
19.875,71.44053601340033,1.9497365684179246,0.0003519228585094147,1706,682
19.75,71.95030120481928,2.18402496028526,0.0003844318615682023,1911,745
19.625,71.7983651226158,2.4091703905187485,0.00042726118305835104,2108,828
19.5,72.44143033292232,2.685744979942628,0.0004613182338818428,2350,894
19.375,72.97748123436196,3.000034286106127,0.0005015674757641512,2625,972
19.25,73.82617382617383,3.3783243237065568,0.0005407846858033235,2956,1048
19.125,74.69769564225417,3.741757048651985,0.0005722616570189749,3274,1109
19.0,75.56664587232272,4.153190322175111,0.0006063187078424667,3634,1175
18.875,76.16045845272207,4.556623504268621,0.0006439878701169348,3987,1248
18.75,76.46542646542646,4.9794854798340555,0.0006919773508227642,4357,1341
18.625,77.05767984445885,5.435490691322187,0.0007306785449403685,4756,1416
18.5,77.60879385634694,5.890353032606087,0.0007673156753717004,5154,1487
18.375,77.94387251445495,6.316643618784215,0.0008070489013324407,5527,1564
18.25,78.68766404199475,6.8526497445685095,0.0008380098566265243,5996,1624
18.125,79.10117878192534,7.362369855655492,0.0008782590985088328,6442,1702
18.0,79.51681886487111,7.861804134904399,0.0009143802130185967,6879,1772
17.875,79.89561813634882,8.397810260688694,0.000954113438979337,7348,1849
17.75,80.27589046736668,8.9121018525926,0.0009886865057243967,7798,1916
17.625,80.42142230026339,9.421821963679584,0.0010356439545870899,8244,2007
17.5,80.77815953198997,9.941827906604647,0.0010681529576458775,8699,2070
17.375,81.21303081133576,10.5132630087201,0.001098081881096825,9199,2128
17.25,81.55813562173986,11.078983759814399,0.0011311069000771805,9694,2192
17.125,81.93321053896052,11.692705059486395,0.0011641319190575361,10231,2256
17.0,82.27992689613158,12.348712556714935,0.0012007690494888683,10805,2327
16.875,82.48727272727272,12.962433856386928,0.0012425663391358807,11342,2408
16.75,82.74493419678295,13.58072663687585,0.0012786874536456446,11883,2478
16.625,82.8348244091334,14.179590623892842,0.001326676934351474,12407,2571
16.5,82.94588536663464,14.802454885198687,0.0013741503991357353,12952,2663
16.375,83.02944437600098,15.404747482828377,0.0014216238639199964,13479,2755
16.25,83.15808128544423,16.08818386495846,0.00147116139239053,14077,2851
16.125,83.13897263780648,16.703048034834683,0.0015294711915277205,14615,2964
16.0,83.29277734763853,17.212768145921668,0.0015588840990570997,15061,3021
15.9375,83.36047774158524,17.54877198596555,0.001581588799606094,15355,3065
15.875,83.40713866510164,17.866489902741744,0.0016048095160766565,15633,3110
15.8125,83.4687778535102,18.194493651356016,0.0016269982007040833,15920,3153
15.75,83.50600484511108,18.5156401787449,0.0016512509490177816,16201,3200
15.6875,83.55323251801482,18.81735791266186,0.001672407601802072,16465,3241
15.625,83.57420512309379,19.165933324952285,0.0017007884774883151,16770,3296
15.5625,83.5292389068469,19.491651333158096,0.001735361544233375,17055,3363
15.5,83.5202927158057,19.82651230299775,0.0017663224995274585,17348,3423
15.4375,83.54406402424587,20.162516143041636,0.0017931553274489972,17642,3475
15.375,83.53604548208212,20.487091281043213,0.0018230842508999445,17926,3533
15.3125,83.56189515204329,20.821952250882866,0.0018494010628999156,18219,3584
15.25,83.68861733423851,21.132812946433674,0.0018597213813312766,18491,3604
15.1875,83.74476428125836,21.479102618315636,0.001882426081880271,18794,3648
15.125,83.78010792787259,21.82424941999337,0.001907710862037106,19096,3697
15.0625,83.80997706918184,22.13853872615687,0.0019309315785076685,19371,3742
15.0,83.80461630184823,22.490542749059987,0.00196240854972332,19679,3803
14.9375,83.88327533436754,22.865404176047726,0.0019835652025076106,20007,3844
14.875,83.95240259471967,23.221979679767767,0.0020042058393703326,20319,3884
14.8125,83.98415162159955,23.498554269191647,0.002023298428468351,20561,3921
14.75,83.96632969511458,23.82655801780592,0.0020542593837624343,20848,3981
14.6875,84.02559720179657,24.16027611744134,0.0020738679887820203,21140,4019
14.625,84.06666666666666,24.499708568097923,0.0020965726893310147,21437,4063
14.5625,84.11757871499942,24.823140835895266,0.002116181294350601,21720,4101
14.5,84.19058553386911,25.142001622875693,0.002131661771997643,21999,4131
14.4375,84.27059712773999,25.48371981394073,0.0021476582655662524,22298,4162
14.375,84.32206551749869,25.828866615618463,0.002168298902428975,22600,4202
14.3125,84.38468348826915,26.143155921781965,0.0021842953959975847,22875,4233
14.25,84.42778101339545,26.50773151693162,0.002207516112468147,23194,4278
14.1875,84.4105917436137,26.850592578200892,0.0022389930836837985,23494,4339
14.125,84.44057806341654,27.178596326815164,0.002261181768311225,23781,4382
14.0625,84.42413418776482,27.553457753802903,0.0022952388191347164,24109,4448
14.0,84.441291483545,27.887175853438322,0.002320007583369983,24401,4496
13.9375,84.42538945066958,28.24375135715837,0.0023525165864287712,24713,4559
13.875,84.36888619037981,28.585469548223408,0.0023912177805463755,25012,4634
13.8125,84.34553752873371,28.935187830718068,0.002424758815448299,25318,4699
13.75,84.2219589257504,29.24604852626887,0.0024737803279972644,25590,4794
13.6875,84.16276346604215,29.57176653447468,0.0025124815221148687,25875,4869
13.625,84.0919304102202,29.94091361044126,0.0025573749072912893,26198,4956
13.5625,84.0366507086015,30.29291763334438,0.002598140165095166,26506,5035
13.5,83.98559799624296,30.657493228494044,0.002639421438820611,26825,5115
13.4375,83.92205381998144,31.008354381192927,0.0026822507603107594,27132,5198
13.375,83.89908256880733,31.354644053074892,0.002716823827055819,27435,5265
13.3125,83.88275070941255,31.756934364964174,0.002755009005251855,27787,5339
13.25,83.83362177000656,32.110081258071524,0.0027957742630557317,28096,5418
13.1875,83.71263486822711,32.454085189545026,0.0028509879666635137,28397,5525
13.125,83.60292617527907,32.783231808363524,0.0029031055747418873,28685,5626
13.0625,83.51819308000346,33.131807220653954,0.002952127087290853,28990,5721
