parent,fragment,AP_loss,points,world_cell,first_frame,last_frame,observations,profiled
N141:75,N141:75/37_-125_-7/280,1.2637448406249995e-05,4,"[37, -125, -7]",280,280,1,False
N141:75,N141:75/36_-295_-22/513,1.2626817814546277e-05,36,"[36, -295, -22]",513,532,20,False
N141:75,N141:75/37_-197_-13/477,1.2623301663849824e-05,2,"[37, -197, -13]",477,478,2,False
N141:75,N141:75/39_-226_-15/322,1.2621723057627268e-05,9,"[39, -226, -15]",322,323,2,False
N141:75,N141:75/38_-255_-18/599,1.261621633663649e-05,242,"[38, -255, -18]",599,618,20,False
N141:75,N141:75/39_-248_-18/455,1.2614513605256788e-05,627,"[39, -248, -18]",455,488,34,False
N141:75,N141:75/36_-154_-10/363,1.261000403006884e-05,2,"[36, -154, -10]",363,364,2,False
N141:75,N141:75/42_-134_-8/282,1.2608471618939447e-05,1,"[42, -134, -8]",282,282,1,False
N141:75,N141:75/38_-196_-13/271,1.2594320075315754e-05,1419,"[38, -196, -13]",271,306,36,False
N141:75,N141:75/41_-223_-15/565,1.2570425253659077e-05,5,"[41, -223, -15]",565,566,2,False
N141:75,N141:75/30_-276_-19/589,1.2567792265792232e-05,141,"[30, -276, -19]",589,615,27,False
N141:75,N141:75/39_-267_-20/372,1.256775468174079e-05,6,"[39, -267, -20]",372,375,4,False
N141:75,N141:75/37_-192_-13/492,1.2565917574549237e-05,4,"[37, -192, -13]",492,495,4,False
N141:75,N141:75/41_-225_-15/496,1.2542160518490111e-05,14,"[41, -225, -15]",496,497,2,False
N141:75,N141:75/26_-274_-18/595,1.2537671303103916e-05,65,"[26, -274, -18]",595,604,10,False
N141:75,N141:75/38_-197_-13/272,1.2535614388443308e-05,1427,"[38, -197, -13]",272,308,37,False
N141:75,N141:75/38_-246_-17/455,1.2535119033437591e-05,1739,"[38, -246, -17]",455,486,32,False
N141:75,N141:75/38_-204_-14/469,1.2519986083104385e-05,7,"[38, -204, -14]",469,470,2,False
N141:75,N141:75/36_-153_-9/286,1.2515460821410673e-05,2,"[36, -153, -9]",286,287,2,False
N141:75,N141:75/40_-274_-20/366,1.2512418075853123e-05,2,"[40, -274, -20]",366,366,1,False
N141:75,N141:75/35_-245_-16/488,1.251206065141237e-05,368,"[35, -245, -16]",488,498,11,False
N141:75,N141:75/42_-132_-8/282,1.2501331812056051e-05,10,"[42, -132, -8]",282,286,5,False
N141:75,N141:75/36_-173_-11/460,1.2497658663201079e-05,2,"[36, -173, -11]",460,461,2,False
N141:75,N141:75/18_-283_-18/603,1.2495747319821884e-05,5,"[18, -283, -18]",603,604,2,False
N141:75,N141:75/40_-245_-17/455,1.2494564537157032e-05,1482,"[40, -245, -17]",455,482,28,False
N141:75,N141:75/44_-169_-11/350,1.2487264034753155e-05,2,"[44, -169, -11]",350,351,2,False
N141:75,N141:75/38_-226_-15/300,1.2481328748128859e-05,3,"[38, -226, -15]",300,302,3,False
N141:75,N141:75/46_-266_-20/403,1.247486280248451e-05,1,"[46, -266, -20]",403,403,1,False
N141:75,N141:75/43_-289_-22/582,1.247033582863752e-05,262,"[43, -289, -22]",582,618,37,False
N141:75,N141:75/39_-231_-16/552,1.2468004618888584e-05,3,"[39, -231, -16]",552,554,3,False
N141:75,N141:75/40_-265_-20/370,1.2463232290210007e-05,8,"[40, -265, -20]",370,375,6,False
N141:75,N141:75/39_-210_-14/388,1.2458750612892278e-05,376,"[39, -210, -14]",388,405,18,False
N141:75,N141:75/43_-195_-11/382,1.2452290225357361e-05,142,"[43, -195, -11]",382,405,24,False
N141:75,N141:75/45_-284_-22/552,1.2448208784404247e-05,755,"[45, -284, -22]",552,618,67,False
N141:75,N141:75/36_-176_-11/361,1.2433186794866361e-05,2,"[36, -176, -11]",361,361,1,False
N141:75,N141:75/38_-216_-14/282,1.2430439971770016e-05,1,"[38, -216, -14]",282,282,1,False
N141:75,N141:75/37_-153_-10/379,1.2430439971770016e-05,1,"[37, -153, -10]",379,379,1,False
N141:75,N141:75/11_-292_-18/616,1.2430439971770016e-05,1,"[11, -292, -18]",616,616,1,False
N141:75,N141:75/40_-180_-12/301,1.2423481618386622e-05,918,"[40, -180, -12]",301,341,41,False
N141:75,N141:75/44_-274_-20/511,1.242112936744782e-05,2783,"[44, -274, -20]",511,604,94,False
N141:75,N141:75/42_-166_-11/280,1.2419565803888121e-05,714,"[42, -166, -11]",280,332,53,False
N141:75,N141:75/39_-239_-16/455,1.2408101350899905e-05,1312,"[39, -239, -16]",455,472,18,False
N141:75,N141:75/39_-226_-15/503,1.2403694945425289e-05,7,"[39, -226, -15]",503,504,2,False
N141:75,N141:75/39_-218_-14/570,1.2387091430642103e-05,5,"[39, -218, -14]",570,572,3,False
N141:75,N141:75/40_-223_-15/498,1.2369262724877928e-05,2,"[40, -223, -15]",498,498,1,False
N141:75,N141:75/37_-150_-9/292,1.2368535256025315e-05,22,"[37, -150, -9]",292,298,7,False
N141:75,N141:75/42_-210_-14/382,1.2354501425272262e-05,2675,"[42, -210, -14]",382,405,24,False
N141:75,N141:75/42_-213_-14/318,1.234811423065412e-05,2094,"[42, -213, -14]",318,348,31,False
N141:75,N141:75/39_-220_-15/498,1.2336980317868364e-05,4,"[39, -220, -15]",498,499,2,False
N141:75,N141:75/46_-248_-18/331,1.2335832002673231e-05,5,"[46, -248, -18]",331,332,2,False
N141:75,N141:75/43_-172_-11/342,1.2319901720998138e-05,14,"[43, -172, -11]",342,346,5,False
N141:75,N141:75/37_-197_-13/271,1.2313298156063051e-05,1800,"[37, -197, -13]",271,310,40,False
N141:75,N141:75/39_-228_-15/510,1.2303923074829098e-05,9,"[39, -228, -15]",510,511,2,False
N141:75,N141:75/43_-168_-11/281,1.2298778474692952e-05,988,"[43, -168, -11]",281,337,57,False
N141:75,N141:75/42_-269_-20/488,1.2293024199015846e-05,5116,"[42, -269, -20]",488,592,105,False
N141:75,N141:75/46_-277_-21/566,1.2288738767596246e-05,39,"[46, -277, -21]",566,573,8,False
N141:75,N141:75/37_-292_-22/458,1.2275838803492429e-05,4,"[37, -292, -22]",458,460,3,False
N141:75,N141:75/44_-216_-14/516,1.2261405315327369e-05,2,"[44, -216, -14]",516,517,2,False
N141:75,N141:75/39_-144_-9/343,1.2253920313429935e-05,2,"[39, -144, -9]",343,344,2,False
N141:75,N141:75/45_-245_-17/390,1.2253796353031071e-05,57,"[45, -245, -17]",390,405,16,False
