index,group,unit,frame,geometry_sources,visit1,visit2,update1,update2,label,points,wrong_both,corrected,newly_wrong,correct_both,bce_improved,score_change_mean,bce1,score1,wrong1,rank_error1,AP1,bce2,score2,wrong2,rank_error2,AP2,rank_inverted_both,rank_corrected,rank_newly_inverted,rank_improved,rank_worsened,point_examples,persistent_ranges,persistent_source_classes
7,anomaly_nuscenes,scene-0001,37,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4471,11245,559,1406,0,26147,44,152,5,25946,25868,-1.732845893912677,0.04016697385983871,-6.070512984393226,196,1.7756748930497355e-05,99.34875890024088,0.012917238306361345,-7.803358878305903,49,1.6390845166612941e-06,99.9412915851272,3,7,0,10,0,"[{""slot"":11661,""score1"":21.125,""score2"":24.875,""bce1"":21.125000000669157,""bce2"":24.87500000001574,""rank1"":0.08571428571428572,""rank2"":0.014285714285714285},{""slot"":11629,""score1"":21.375,""score2"":24.25,""bce1"":21.37500000052114,""bce2"":24.250000000029402,""rank1"":0.08571428571428572,""rank2"":0.014285714285714285},{""slot"":11597,""score1"":21.375,""score2"":24.0,""bce1"":21.37500000052114,""bce2"":24.00000000003775,""rank1"":0.08571428571428572,""rank2"":0.014285714285714285}]","[0,37,4,3]","{""23"":1,""24"":37,""28"":6}"
7,anomaly_nuscenes,scene-0001,37,"[""059abc6a5bbcb61503ac3592d7bc6b94ac6e8d27e6ff97a29a8256207b95f27d"",""05e1c89ceee0017db02bb4ed947b13867c85e21ffb8fbee6a7d9baecd09b88b0"",""064258317b89599a59db0a63bab4908d1d5905dc93e759501fd543025e66cb36"",""080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8""]",4471,11245,559,1406,1,70,0,0,0,70,65,10.339285714285714,1.961536732572088e-09,26.03035714285714,0,1.775674893049735e-05,99.34875890024088,1.2268887531649707e-12,36.36964285714286,0,1.6390845166612941e-06,99.9412915851272,0,6,1,6,1,"[{""slot"":12108,""score1"":25.5,""score2"":23.5,""bce1"":8.42346375443317e-12,""bce2"":6.224144622714083e-11,""rank1"":0.0,""rank2"":0.00011473591616629058},{""slot"":11980,""score1"":27.625,""score2"":25.5,""bce1"":1.0060392792828108e-12,""bce2"":8.42346375443317e-12,""rank1"":0.0,""rank2"":0.0},{""slot"":11852,""score1"":24.5,""score2"":26.375,""bce1"":2.2897348456193385e-11,""bce2"":3.5114221133703467e-12,""rank1"":0.0,""rank2"":0.0}]","[0,0,0,0]",{}
8,normal_nuscenes,scene-0002,40,[],3809,11910,477,1489,0,23899,103,152,0,23644,23583,-2.020610484823911,0.053006710577657074,-5.64190297003266,255,,,0.013832534613741808,-7.662513454856571,103,,,,,,,,"[{""slot"":11319,""score1"":7.5625,""score2"":14.4375,""bce1"":7.563019439749966,""bce2"":14.437500536875149,""rank1"":null,""rank2"":null},{""slot"":11191,""score1"":7.59375,""score2"":13.9375,""bce1"":7.594253462291325,""bce2"":13.937500885157322,""rank1"":null,""rank2"":null},{""slot"":11223,""score1"":8.3125,""score2"":13.875,""bce1"":8.31274539958856,""bce2"":13.875000942245038,""rank1"":null,""rank2"":null}]","[49,23,3,28]","{""2"":1,""17"":83,""23"":1,""24"":7,""27"":3,""28"":7,""30"":1}"
9,anomaly_nuscenes,scene-0002,45,"[""081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0"",""090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8"",""090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a"",""092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5""]",1665,12297,209,1538,0,23889,45,98,38,23708,21602,-1.2753667438996832,0.017696177505945754,-6.334148157395925,143,0.0,100.0,0.01378579451193881,-7.609514901295608,83,0.0,100.0,0,0,0,0,0,"[{""slot"":8102,""score1"":2.875,""score2"":19.875,""bce1"":2.9298821791580782,""bce2"":19.875000002335593,""rank1"":0.0,""rank2"":0.0},{""slot"":8038,""score1"":2.90625,""score2"":19.75,""bce1"":2.959487780148678,""bce2"":19.750000002646573,""rank1"":0.0,""rank2"":0.0},{""slot"":8070,""score1"":4.34375,""score2"":15.1875,""bce1"":4.356654115391931,""bce2"":15.187500253601899,""rank1"":0.0,""rank2"":0.0}]","[21,8,3,13]","{""24"":37,""27"":8}"
9,anomaly_nuscenes,scene-0002,45,"[""081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0"",""090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8"",""090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a"",""092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5""]",1665,12297,209,1538,1,17,0,0,0,17,17,21.512867647058822,0.0001076825406401833,9.766544117647058,0,0.0,100.0,1.1441999869420301e-10,31.279411764705884,0,0.0,100.0,0,0,0,0,0,"[{""slot"":4566,""score1"":9.1875,""score2"":20.625,""bce1"":0.00010230508771284556,""bce2"":1.103256031734967e-09,""rank1"":0.0,""rank2"":0.0},{""slot"":4758,""score1"":10.8125,""score2"":21.625,""bce1"":2.0145893780091778e-05,""bce2"":4.05865212565206e-10,""rank1"":0.0,""rank2"":0.0},{""slot"":4726,""score1"":11.0,""score2"":21.875,""bce1"":1.670156131839396e-05,""bce2"":3.160881453814134e-10,""rank1"":0.0,""rank2"":0.0}]","[0,0,0,0]",{}
10,normal_nuscenes,scene-0002,51,[],1179,12168,148,1522,0,24258,87,221,19,23931,23222,-2.082471349192369,0.04262870728832779,-5.359518656108314,308,,,0.016686791198674316,-7.441990005300684,106,,,,,,,,"[{""slot"":8728,""score1"":2.78125,""score2"":17.25,""bce1"":2.8413672062234148,""bce2"":17.250000032241868,""rank1"":null,""rank2"":null},{""slot"":8854,""score1"":4.65625,""score2"":12.625,""bce1"":4.6657071679614655,""bce2"":12.625003288754474,""rank1"":null,""rank2"":null},{""slot"":8760,""score1"":4.03125,""score2"":11.875,""bce1"":4.0488463972434054,""bce2"":11.875006962280487,""rank1"":null,""rank2"":null}]","[0,32,13,42]","{""2"":1,""4"":2,""9"":2,""12"":3,""17"":62,""21"":5,""23"":1,""24"":8,""27"":2,""28"":1}"
11,anomaly_nuscenes,scene-0002,57,"[""081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0"",""090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8"",""090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a"",""092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5""]",147,7839,19,980,0,25367,23,1558,12,23774,25330,-6.429291153224786,0.344860118817068,-1.0019548738477886,1581,0.0041624093443386224,55.82552875350129,0.005760115996409925,-7.431246027072574,35,0.0,100.0,0,351,0,351,0,"[{""slot"":23796,""score1"":0.52734375,""score2"":6.71875,""bce1"":0.9911850120335048,""bce2"":6.719957318227685,""rank1"":0.0,""rank2"":0.0},{""slot"":12406,""score1"":0.330078125,""score2"":2.34375,""bce1"":0.8717438092877137,""bce2"":2.435387157094044,""rank1"":0.0,""rank2"":0.0},{""slot"":11943,""score1"":1.5234375,""score2"":1.9765625,""bce1"":1.7206159409975892,""bce2"":2.1063133389455166,""rank1"":0.509009009009009,""rank2"":0.0}]","[14,5,0,4]","{""17"":3,""24"":19,""28"":1}"
11,anomaly_nuscenes,scene-0002,57,"[""081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0"",""090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8"",""090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a"",""092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5""]",147,7839,19,980,1,222,0,0,0,222,222,32.78360782657658,0.19991863249308212,1.5103110923423424,0,0.004162409344338622,55.82552875350129,2.2958450433463984e-12,34.29391891891892,0,0.0,100.0,0,220,0,220,0,"[{""slot"":12169,""score1"":1.515625,""score2"":22.0,""bce1"":0.1985810253389594,""bce2"":2.789468092479868e-10,""rank1"":0.005006504513738321,""rank2"":0.0},{""slot"":12584,""score1"":1.5546875,""score2"":22.875,""bce1"":0.19165733386090814,""bce2"":1.162823302954489e-10,""rank1"":0.0005913194307564947,""rank2"":0.0},{""slot"":12808,""score1"":1.0859375,""score2"":24.625,""bce1"":0.29086586237164236,""bce2"":2.0206839090018012e-11,""rank1"":0.013758032088934443,""rank2"":0.0}]","[0,0,0,0]",{}
12,normal_nuscenes,scene-0002,62,[],3323,7737,416,968,0,26454,17,43,10,26384,25090,-1.2894242637739832,0.00802713081977787,-6.249107400639361,60,,,0.005569492034197364,-7.538531664413345,27,,,,,,,,"[{""slot"":24885,""score1"":0.2060546875,""score2"":11.375,""bce1"":0.8014724783776783,""bce2"":11.375011478834008,""rank1"":null,""rank2"":null},{""slot"":24886,""score1"":5.09375,""score2"":11.0625,""bce1"":5.099866228241868,""bce2"":11.06251568967281,""rank1"":null,""rank2"":null},{""slot"":24854,""score1"":4.5,""score2"":10.9375,""bce1"":4.511047744848594,""bce2"":10.937517778709903,""rank1"":null,""rank2"":null}]","[0,0,0,17]","{""17"":3,""21"":9,""24"":1,""25"":3,""28"":1}"
13,anomaly_nuscenes,scene-0002,75,"[""081ff043a2035fb5ded0f6e9765a6a3363a21545b57732e0581d622cc62a10d0"",""090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8"",""090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a"",""092dc2b259cc69794ef9729e7fa7a78ddc83526a763f20727c5ce929ca774db5""]",6051,9515,757,1190,0,26547,66,47,78,26356,22176,-0.368590394112513,0.011208352915523408,-7.824477862022096,113,0.0,100.0,0.01857190086968955,-8.193068256134609,144,0.0,100.0,0,0,0,0,0,"[{""slot"":299,""score1"":4.1875,""score2"":8.875,""bce1"":4.202570071848551,""bce2"":8.875139831851666,""rank1"":0.0,""rank2"":0.0},{""slot"":9650,""score1"":4.3125,""score2"":8.75,""bce1"":4.325811021623458,""bce2"":8.750158448771446,""rank1"":0.0,""rank2"":0.0},{""slot"":9618,""score1"":2.828125,""score2"":8.0625,""bce1"":2.885566779891555,""bce2"":8.062815088329195,""rank1"":0.0,""rank2"":0.0}]","[0,37,25,4]","{""9"":10,""17"":2,""24"":6,""27"":37,""28"":11}"
