kind,reference,normal_world,normal_frame,anomaly_world,anomaly_frame,normal_points,anomaly_points,normal_range_m,anomaly_range_m,sensor_xy_separation_m,normal_majority_semantic,normal_spread_m,normal_axis1_span_m,normal_axis2_span_m,normal_axis3_span_m,normal_linearity,normal_planarity,normal_scattering,normal_neighbor_m,normal_intensity,normal_other_nearest_m,normal_nonground_nearest_m,normal_nonground_nearest_semantic,normal_neighbors_0p5_m,normal_neighbors_2_m,anomaly_spread_m,anomaly_axis1_span_m,anomaly_axis2_span_m,anomaly_axis3_span_m,anomaly_linearity,anomaly_planarity,anomaly_scattering,anomaly_neighbor_m,anomaly_intensity,anomaly_other_nearest_m,anomaly_nonground_nearest_m,anomaly_nonground_nearest_semantic,anomaly_neighbors_0p5_m,anomaly_neighbors_2_m,spread_ratio,shape_difference,range_difference_m
count_range,206:10:78,train/contacts_low_smooth_1,164,train/solid_raised_sparse_1,254,44,44,18.112417221069336,17.502750396728516,1.6019073724746704,10,1.1666927817824768,3.8316729570290518,1.6198236471326815,1.3170425628908153,0.6859936200542893,0.18142645144206945,0.13257992850364123,0.11565281361958281,0.05700000002980232,0.3815116671323884,0.6007688283486271,72,0.0,22.0,0.38998599488657865,1.1893143221383644,0.6049181514422777,0.21006638139216052,0.7305441090657624,0.24700650001351496,0.02244939092072273,0.10479434270793259,0.08314286172389984,0.1153498223387346,2.750741540405944,70,0.0,61.0,2.991627384264892,0.11013053758291849,0.6096668243408203
count_range,206:10:78,train/branched_raised_sparse_4,165,train/contacts_raised_rough_2,256,47,47,18.41010856628418,17.954404830932617,8.835027694702148,10,1.4143148768478147,3.92548116351158,1.980666127494566,1.173074595480015,0.8067933356062406,0.14187376858124784,0.05133289581251161,0.13240790031216504,0.0560000017285347,0.36050240436344233,0.6447464707569627,72,0.0,12.0,0.4557912425374961,1.535651891955227,0.3474476493051466,0.21732400849072636,0.9328648984928797,0.053074147619689066,0.014060953887431228,0.10906336137745685,0.38199999928474426,0.28490687392238234,1.5866244214910699,99,2.0,139.0,3.1029882649214455,0.12607156288663912,0.4557037353515625
count_range,206:10:78,train/branched_raised_sparse_4,166,train/contacts_raised_rough_2,259,44,44,18.57412338256836,18.943832397460938,8.588397026062012,10,1.1900484207232045,3.782490462770565,1.7737800844100944,1.5270527195575994,0.6817504241908026,0.18895100243524918,0.12929857337394834,0.11833790891336646,0.07199999690055847,0.6175437439406284,0.6175437439406284,72,0.0,13.0,0.4610097629346326,1.5360115823881264,0.39998658991488056,0.26891989082378387,0.9259993788779557,0.05613790858431113,0.017862712537733215,0.11589959383060511,0.39557141065597534,0.2811364853247195,1.5064520629783178,99,1.0,121.0,2.58139526839466,0.24424895468715313,0.3697090148925781
count_range,206:10:78,train/contacts_raised_rough_1,167,train/elongated_raised_sparse_6,163,38,38,18.86724090576172,18.589792251586914,37.03789138793945,10,1.303584403035573,3.9708323575051194,1.5995188964394798,1.1936951780493177,0.7783512402407712,0.13663401540013553,0.0850147443590933,0.11740504519566974,0.04885714128613472,0.3949925136933894,0.5800669230366123,72,0.0,10.5,0.5360352549536942,1.6629965277654515,0.5807013214684398,0.08989563153366018,0.8897667103234631,0.10724264857389143,0.0029906411026454777,0.11728944226841316,0.5692857503890991,0.3598966656681119,4.091319047128739,50,0.0,33.5,2.43190049719432,0.11141547008269193,0.2774486541748047
count_range,206:10:78,train/branched_low_rough_3,168,train/branched_raised_sparse_4,279,40,40,18.862564086914062,18.460403442382812,36.79143524169922,10,1.1723578950489648,3.96051139311821,1.7489873014540267,1.2021420684528907,0.6761940883606492,0.20664764663764937,0.11715826500170139,0.12113392385149443,0.060285717248916626,0.6141264815738114,0.6141264815738114,72,0.0,7.0,0.313418017604746,0.9227996217526113,0.6634825090248073,0.4370889144903201,0.46496066319622154,0.3747489259817373,0.16029041082204112,0.11354241098321684,0.3994285762310028,0.10386070296003391,0.94869443813873,51,6.0,92.0,3.7405567937942696,0.21123342516442767,0.40216064453125
count_range,206:10:78,train/contacts_raised_rough_1,169,train/elongated_raised_sparse_6,161,41,41,19.01090431213379,19.17356300354004,37.8309326171875,10,0.9817573207481578,3.2918029600121277,2.4356443998171353,1.2540805804457118,0.5857947638676647,0.2127587116441468,0.20144652448818848,0.11897972384011403,0.06257142871618271,0.6786031214267008,0.9538116356922217,72,0.0,4.0,0.5576517452620237,2.093383177152766,0.48483959007750516,0.08058116591050492,0.9206241674180368,0.07787595554440598,0.0014998770375571698,0.12110313898633772,0.526285707950592,0.3467598512442326,4.114689320732112,70,0.0,31.0,1.7605204844949598,0.33482940355037205,0.16265869140625
count_range,206:10:78,train/branched_low_rough_3,170,train/solid_raised_rough_6,57,33,33,19.5003662109375,19.46929359436035,38.834529876708984,10,1.1544208270005636,3.738649837622755,1.8847118772987859,1.2696189436543661,0.6435053714312353,0.2419845087561815,0.11451011981258324,0.12556251089602863,0.0511428564786911,0.5570690208989548,0.5570690208989548,72,0.0,5.0,0.43910092072327805,1.3119075205926287,0.7787109570111497,0.28327487214244923,0.6817279487671071,0.27877030703364614,0.039501744199246826,0.12095335702265941,0.07314285635948181,0.3304102320338739,1.070971516848902,10,0.0,46.0,2.629055810447915,0.07500837561333643,0.031072616577148438
count_range,206:10:78,train/branched_low_rough_3,171,train/elongated_raised_sparse_6,159,34,34,19.650915145874023,19.76349639892578,39.11005783081055,10,1.1506020377227482,3.6711306754477757,1.6791422458022134,1.42959273236858,0.6630974427327146,0.20893233509437523,0.12797022217291015,0.13732392462522303,0.05671428516507149,0.984718459625592,0.984718459625592,1,0.0,2.0,0.5753391148024938,2.136150526711445,0.494226423762335,0.07246595852655194,0.9237738110444362,0.07467579931137401,0.0015503896441898474,0.12427302890831263,0.5235714316368103,0.296288021656199,3.8816340795833444,1,0.0,28.0,1.9998675704809927,0.2606763683117216,0.11258125305175781
count_range,206:10:78,train/branched_low_rough_3,172,train/solid_raised_sparse_7,25,40,40,19.83229637145996,19.830148696899414,39.441341400146484,10,1.0874011934635734,3.753894652135737,1.7876699882423221,1.326897805654656,0.5983859288152039,0.2584426933172287,0.14317137786756737,0.12352133866783802,0.057999998331069946,0.6744761586764129,1.2526605748677295,72,0.0,3.0,0.5807440162678975,2.087325631506474,0.5104989595053222,0.31042360312865663,0.9428243143132194,0.03619716959484365,0.02097851609193683,0.12556352485832098,0.07914285361766815,2.0278359520663707,3.0755498404716284,10,0.0,0.0,1.8724277185870388,0.34443838549801553,0.002147674560546875
count_range,206:10:78,train/branched_low_rough_3,173,train/elongated_raised_sparse_6,335,28,28,20.083030700683594,20.057024002075195,2.598064661026001,10,1.144674826313625,3.81584610281003,1.7190846411740073,1.3165123291363856,0.6718180383507595,0.21240938772268783,0.11577257392655273,0.12653429651427608,0.055142857134342194,0.8723791716852072,2.5996854518487322,71,0.0,2.0,0.3095600067292359,0.9342955946052186,0.5321966618315521,0.07105767757084473,0.6791379044841565,0.314062860853548,0.006799234662295625,0.12442741366075744,0.24242857098579407,0.12134840437622836,0.18340902830945105,50,4.5,49.5,3.6977477756512727,0.1089733392642571,0.026006698608398438
