dimension,group,positive,negative,tp,fp,frames
sparse/donor,e778c234539b4257abfc25183d73d2e7,6,0,6,0,3
sparse/donor,e810c1c4cf4045e4a502cf8bf2f03b62,7,0,7,0,4
sparse/donor,e9b831924b9f4618b8511d697b815dc2,3,0,3,0,3
sparse/donor,ecf7d2d3b0984505a33fc612ac350e6b,7,0,7,0,5
sparse/family,垃圾容器,70,0,70,0,29
sparse/family,搬运车,18,0,18,0,14
sparse/family,旅行箱,9,0,9,0,5
sparse/family,袋包,9,0,9,0,5
sparse/normal_semantic,flat.driveable_surface,0,540702,0,24289,53
sparse/normal_semantic,flat.sidewalk,0,99309,0,10521,52
sparse/normal_semantic,flat.terrain,0,105461,0,10219,45
sparse/normal_semantic,human.pedestrian.adult,0,2034,0,1263,40
sparse/normal_semantic,human.pedestrian.child,0,19,0,19,4
sparse/normal_semantic,human.pedestrian.construction_worker,0,62,0,50,4
sparse/normal_semantic,static.vegetation,0,144280,0,26972,51
sparse/normal_semantic,vehicle.bicycle,0,51,0,9,4
sparse/normal_semantic,vehicle.bus.bendy,0,200,0,185,2
sparse/normal_semantic,vehicle.bus.rigid,0,5956,0,740,10
sparse/normal_semantic,vehicle.car,0,44630,0,10370,49
sparse/normal_semantic,vehicle.construction,0,8113,0,1867,12
sparse/normal_semantic,vehicle.motorcycle,0,248,0,98,10
sparse/normal_semantic,vehicle.trailer,0,4698,0,1859,12
sparse/normal_semantic,vehicle.truck,0,23768,0,5730,31
sparse/normal_semantic_range,flat.driveable_surface/10-20,0,78424,0,8057,53
sparse/normal_semantic_range,flat.driveable_surface/2.5-10,0,444808,0,2521,53
sparse/normal_semantic_range,flat.driveable_surface/20-30,0,14583,0,10824,53
sparse/normal_semantic_range,flat.driveable_surface/30-40,0,2521,0,2521,46
sparse/normal_semantic_range,flat.driveable_surface/40-50,0,366,0,366,39
sparse/normal_semantic_range,flat.sidewalk/10-20,0,24936,0,3505,52
sparse/normal_semantic_range,flat.sidewalk/2.5-10,0,67568,0,1550,46
sparse/normal_semantic_range,flat.sidewalk/20-30,0,5151,0,3819,52
sparse/normal_semantic_range,flat.sidewalk/30-40,0,1325,0,1319,49
sparse/normal_semantic_range,flat.sidewalk/40-50,0,329,0,328,27
sparse/normal_semantic_range,flat.terrain/10-20,0,29987,0,2164,37
sparse/normal_semantic_range,flat.terrain/2.5-10,0,64968,0,1416,29
sparse/normal_semantic_range,flat.terrain/20-30,0,6938,0,3325,37
sparse/normal_semantic_range,flat.terrain/30-40,0,2402,0,2194,37
sparse/normal_semantic_range,flat.terrain/40-50,0,1166,0,1120,33
sparse/normal_semantic_range,human.pedestrian.adult/10-20,0,821,0,543,26
sparse/normal_semantic_range,human.pedestrian.adult/2.5-10,0,682,0,207,9
sparse/normal_semantic_range,human.pedestrian.adult/20-30,0,267,0,252,25
sparse/normal_semantic_range,human.pedestrian.adult/30-40,0,190,0,187,23
sparse/normal_semantic_range,human.pedestrian.adult/40-50,0,74,0,74,16
sparse/normal_semantic_range,human.pedestrian.child/10-20,0,7,0,7,1
sparse/normal_semantic_range,human.pedestrian.child/2.5-10,0,0,0,0,0
sparse/normal_semantic_range,human.pedestrian.child/20-30,0,5,0,5,1
sparse/normal_semantic_range,human.pedestrian.child/30-40,0,4,0,4,1
sparse/normal_semantic_range,human.pedestrian.child/40-50,0,3,0,3,2
sparse/normal_semantic_range,human.pedestrian.construction_worker/10-20,0,61,0,49,3
sparse/normal_semantic_range,human.pedestrian.construction_worker/2.5-10,0,0,0,0,0
sparse/normal_semantic_range,human.pedestrian.construction_worker/20-30,0,0,0,0,0
sparse/normal_semantic_range,human.pedestrian.construction_worker/30-40,0,1,0,1,1
sparse/normal_semantic_range,human.pedestrian.construction_worker/40-50,0,0,0,0,0
sparse/normal_semantic_range,static.vegetation/10-20,0,40562,0,1501,44
sparse/normal_semantic_range,static.vegetation/2.5-10,0,34455,0,2694,34
sparse/normal_semantic_range,static.vegetation/20-30,0,31727,0,4008,48
sparse/normal_semantic_range,static.vegetation/30-40,0,23696,0,9998,49
sparse/normal_semantic_range,static.vegetation/40-50,0,13840,0,8771,50
sparse/normal_semantic_range,vehicle.bicycle/10-20,0,1,0,1,1
sparse/normal_semantic_range,vehicle.bicycle/2.5-10,0,42,0,0,1
sparse/normal_semantic_range,vehicle.bicycle/20-30,0,3,0,3,2
sparse/normal_semantic_range,vehicle.bicycle/30-40,0,1,0,1,1
sparse/normal_semantic_range,vehicle.bicycle/40-50,0,4,0,4,1
sparse/normal_semantic_range,vehicle.bus.bendy/10-20,0,0,0,0,0
sparse/normal_semantic_range,vehicle.bus.bendy/2.5-10,0,0,0,0,0
sparse/normal_semantic_range,vehicle.bus.bendy/20-30,0,143,0,129,1
sparse/normal_semantic_range,vehicle.bus.bendy/30-40,0,49,0,48,2
sparse/normal_semantic_range,vehicle.bus.bendy/40-50,0,8,0,8,1
sparse/normal_semantic_range,vehicle.bus.rigid/10-20,0,331,0,27,4
sparse/normal_semantic_range,vehicle.bus.rigid/2.5-10,0,4867,0,246,2
sparse/normal_semantic_range,vehicle.bus.rigid/20-30,0,640,0,353,5
sparse/normal_semantic_range,vehicle.bus.rigid/30-40,0,60,0,56,3
sparse/normal_semantic_range,vehicle.bus.rigid/40-50,0,58,0,58,3
sparse/normal_semantic_range,vehicle.car/10-20,0,9512,0,3808,41
sparse/normal_semantic_range,vehicle.car/2.5-10,0,30929,0,2801,30
sparse/normal_semantic_range,vehicle.car/20-30,0,3069,0,2641,46
sparse/normal_semantic_range,vehicle.car/30-40,0,859,0,859,42
sparse/normal_semantic_range,vehicle.car/40-50,0,261,0,261,31
sparse/normal_semantic_range,vehicle.construction/10-20,0,2150,0,290,6
sparse/normal_semantic_range,vehicle.construction/2.5-10,0,5266,0,1185,4
sparse/normal_semantic_range,vehicle.construction/20-30,0,480,0,178,8
sparse/normal_semantic_range,vehicle.construction/30-40,0,73,0,70,5
sparse/normal_semantic_range,vehicle.construction/40-50,0,144,0,144,6
sparse/normal_semantic_range,vehicle.motorcycle/10-20,0,171,0,63,4
sparse/normal_semantic_range,vehicle.motorcycle/2.5-10,0,41,0,1,1
sparse/normal_semantic_range,vehicle.motorcycle/20-30,0,18,0,16,3
sparse/normal_semantic_range,vehicle.motorcycle/30-40,0,9,0,9,3
sparse/normal_semantic_range,vehicle.motorcycle/40-50,0,9,0,9,3
sparse/normal_semantic_range,vehicle.trailer/10-20,0,1225,0,186,5
sparse/normal_semantic_range,vehicle.trailer/2.5-10,0,1837,0,267,3
sparse/normal_semantic_range,vehicle.trailer/20-30,0,667,0,535,7
sparse/normal_semantic_range,vehicle.trailer/30-40,0,898,0,800,9
sparse/normal_semantic_range,vehicle.trailer/40-50,0,71,0,71,7
sparse/normal_semantic_range,vehicle.truck/10-20,0,2272,0,842,12
sparse/normal_semantic_range,vehicle.truck/2.5-10,0,19252,0,2883,10
sparse/normal_semantic_range,vehicle.truck/20-30,0,1258,0,1050,21
sparse/normal_semantic_range,vehicle.truck/30-40,0,754,0,723,19
sparse/normal_semantic_range,vehicle.truck/40-50,0,232,0,232,15
sparse/point_count,0,106,0,106,0,53
sparse/range,10-20,29,190460,29,21043,53
sparse/range,2.5-10,9,674715,9,15771,53
sparse/range,20-30,26,64949,26,27138,53
sparse/range,30-40,24,32842,24,18790,53
sparse/range,40-50,18,16565,18,11449,53
sparse/scene,scene-0003,1,16716,1,1619,1
sparse/scene,scene-0035,2,19063,2,1595,1
sparse/scene,scene-0092,2,15646,2,709,1
sparse/scene,scene-0093,1,20332,1,2881,1
sparse/scene,scene-0103,1,16907,1,1336,1
sparse/scene,scene-0104,4,16955,4,837,1
sparse/scene,scene-0106,3,15262,3,1939,1
sparse/scene,scene-0108,4,58280,4,5039,3
sparse/scene,scene-0109,2,15329,2,1472,1
sparse/scene,scene-0268,5,36041,5,3300,2
sparse/scene,scene-0270,2,23849,2,3015,1
sparse/scene,scene-0330,1,15509,1,1386,1
sparse/scene,scene-0332,2,19560,2,2432,1
sparse/scene,scene-0346,1,24187,1,3809,1
sparse/scene,scene-0521,8,43667,8,5417,2
sparse/scene,scene-0522,1,20358,1,1352,1
sparse/scene,scene-0552,3,21439,3,1670,1
sparse/scene,scene-0556,3,13519,3,701,1
sparse/scene,scene-0557,1,13955,1,773,1
sparse/scene,scene-0561,2,40399,2,4003,2
sparse/scene,scene-0564,3,21294,3,2639,1
sparse/scene,scene-0626,1,13747,1,1139,1
sparse/scene,scene-0627,4,15893,4,1475,1
sparse/scene,scene-0630,1,14931,1,1174,1
sparse/scene,scene-0632,4,12250,4,931,1
sparse/scene,scene-0634,1,14849,1,3076,1
sparse/scene,scene-0636,1,14579,1,1631,1
sparse/scene,scene-0770,2,15276,2,1062,1
sparse/scene,scene-0802,2,21466,2,2475,1
sparse/scene,scene-0905,2,29874,2,2137,2
sparse/scene,scene-0912,1,14698,1,1240,1
sparse/scene,scene-0914,1,13352,1,1056,1
sparse/scene,scene-0916,1,22782,1,2989,1
sparse/scene,scene-0922,1,22117,1,1295,1
sparse/scene,scene-0929,1,22579,1,1791,1
sparse/scene,scene-0930,2,24520,2,1838,1
sparse/scene,scene-0962,2,21607,2,1575,1
sparse/scene,scene-0963,1,19910,1,2052,1
sparse/scene,scene-0967,2,18643,2,1108,1
sparse/scene,scene-0969,12,50215,12,6766,3
sparse/scene,scene-1060,5,43205,5,4146,2
sparse/scene,scene-1062,4,21702,4,1900,1
sparse/scene,scene-1064,1,18832,1,1546,1
sparse/scene,scene-1070,2,24237,2,1865,1
