model,kind,key,normal,anomaly,pooled_AP_credit,observations,fp50,fn50,fp75,fn75,fp90,fn90,fp95,fn95,fp99,fn99
m500,normal_semantic,30,13403,0,0.0,135,0,0,0,0,1,0,3,0,87,0
m500,normal_semantic,31,6,0,0.0,2,0,0,0,0,0,0,0,0,0,0
m500,normal_semantic,32,5,0,0.0,3,2,0,2,0,2,0,2,0,2,0
m500,normal_semantic,40,188179854,0,0.0,1960,5468,0,33765,0,132973,0,417227,0,2937024,0
m500,normal_semantic,48,259333,0,0.0,76,0,0,14,0,87,0,349,0,5059,0
m500,normal_semantic,49,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
m500,normal_semantic,50,3953975,0,0.0,732,426,0,7328,0,20863,0,31763,0,51536,0
m500,normal_semantic,51,175246,0,0.0,205,0,0,0,0,0,0,0,0,9,0
m500,normal_semantic,70,905135,0,0.0,639,0,0,340,0,1830,0,3733,0,10439,0
m500,normal_semantic,71,1070,0,0.0,88,0,0,0,0,0,0,0,0,0,0
m500,normal_semantic,72,15,0,0.0,12,0,0,0,0,0,0,0,0,0,0
m500,normal_semantic,80,4718,0,0.0,130,0,0,0,0,0,0,5,0,484,0
m500,normal_semantic,81,3,0,0.0,2,0,0,0,0,0,0,0,0,0,0
m500,object,125:1,0,25871,15.901354893610641,210,0,24579,0,14422,0,5558,0,2749,0,448
m500,object,137:3,0,749,0.6935936607882757,46,0,366,0,114,0,25,0,11,0,0
m500,object,138:4,0,175,0.16824831711345287,68,0,58,0,19,0,11,0,3,0,1
m500,object,138:5,0,2079,2.117252191617532,83,0,450,0,158,0,66,0,15,0,1
m500,object,139:7,0,2844,2.8247137832972142,99,0,1057,0,208,0,19,0,5,0,0
m500,object,140:1,0,1465,1.5538024523185394,75,0,231,0,64,0,11,0,3,0,0
m500,object,141:4,0,15929,16.05043962392658,285,0,4063,0,1262,0,406,0,112,0,5
m500,object,141:5,0,2460,2.318233515259792,267,0,1108,0,375,0,94,0,37,0,4
m500,object,142:2,0,615,0.2807229672657593,59,0,573,0,436,0,277,0,194,0,51
m500,object,142:3,0,981,0.49715869662348094,55,0,876,0,604,0,420,0,307,0,116
m500,object,143:3,0,3085,2.593167995691536,91,0,1898,0,865,0,249,0,64,0,12
m500,object,144:2,0,531,0.573906604045746,73,0,41,0,2,0,0,0,0,0,0
m500,object,144:3,0,552,0.5199604744401689,60,0,211,0,76,0,39,0,25,0,4
m500,object,144:4,0,144,0.13649865189308988,56,0,80,0,12,0,1,0,0,0,0
m500,object,144:5,0,3281,3.536531315964877,79,0,217,0,22,0,1,0,0,0,0
m500,object,145:1,0,2267,2.4599798995391713,92,0,237,0,45,0,7,0,3,0,0
m500,object,145:2,0,1445,1.473894007304847,92,0,393,0,84,0,10,0,3,0,1
m500,object,146:2,0,1455,1.4112941451902943,57,0,500,0,182,0,61,0,31,0,11
m500,object,147:2,0,2811,2.93702149126399,111,0,535,0,129,0,31,0,4,0,0
m500,object,148:2,0,3050,3.1614923539931707,115,0,733,0,150,0,19,0,9,0,0
m500,object,149:2,0,455,0.4193652222814735,94,0,222,0,73,0,14,0,4,0,0
m500,object,149:3,0,2344,2.5003740068724682,102,0,351,0,57,0,1,0,0,0,0
m500,object,150:2,0,686,0.6372018423365419,125,0,371,0,82,0,21,0,7,0,1
m500,object,150:3,0,545,0.5481164973009789,117,0,150,0,40,0,13,0,5,0,1
m500,object,150:4,0,4113,4.066986980412721,156,0,1321,0,372,0,115,0,44,0,4
m500,object,151:1,0,1054,1.0965221896434205,51,0,248,0,48,0,18,0,5,0,0
m500,object,152:1,0,1029,1.0149645110023453,61,0,303,0,132,0,52,0,15,0,1
m500,object,153:30550,0,1020,1.0967534959574763,75,0,118,0,26,0,6,0,3,0,0
m500,object,153:30551,0,2129,2.305131733066961,75,0,185,0,39,0,7,0,3,0,0
m500,object,169:1,0,2334,1.0117710938225495,63,0,2168,0,1748,0,1161,0,709,0,203
m500,object_returns,0,0,1535,1.1493655712985944,705,0,1092,0,595,0,238,0,103,0,13
m500,object_returns,1,0,4494,3.5327213046926262,676,0,2984,0,1507,0,609,0,287,0,108
m500,object_returns,2,0,8579,7.6480145742756775,612,0,4456,0,1670,0,577,0,272,0,77
m500,object_returns,3,0,17036,15.596310995585037,551,0,7007,0,3273,0,1363,0,737,0,166
m500,object_returns,4,0,18031,18.276096651120746,256,0,4303,0,1479,0,502,0,266,0,43
m500,object_returns,5,0,14543,11.742812293437371,107,0,7545,0,4872,0,2490,0,1297,0,269
m500,object_returns,6,0,23280,17.961133223435024,85,0,16256,0,8450,0,2934,0,1408,0,188
m500,sequence,125,21450882,25871,15.901354893610641,210,1598,24579,8141,14422,25443,5558,63586,2749,417680,448
m500,sequence,137,4652268,749,0.6935936607882757,46,35,366,428,114,2912,25,10499,11,69635,0
m500,sequence,138,8321471,2254,2.2855005087309865,83,182,508,1948,177,7052,77,18914,18,118050,2
m500,sequence,139,10201337,2844,2.8247137832972142,99,102,1057,782,208,4070,19,16142,5,136104,0
m500,sequence,140,8008759,1465,1.5538024523185392,75,144,231,1764,64,5281,11,16516,3,113742,0
m500,sequence,141,31991712,18389,18.368673139186335,307,1760,5171,8166,1637,22525,500,57344,149,404387,9
m500,sequence,142,8365690,1596,0.7778816638892401,87,26,1449,695,1040,5388,697,20531,501,144124,167
m500,sequence,143,7571268,3085,2.593167995691537,91,8,1898,1482,865,10362,249,28978,64,157389,12
m500,sequence,144,7455833,4508,4.766897046343882,79,315,549,2056,112,6860,41,19342,25,127163,4
m500,sequence,145,8379629,3712,3.9338739068440187,92,135,630,1379,129,6867,17,23405,6,156674,1
m500,sequence,146,5166306,1455,1.4112941451902943,57,130,500,1841,182,6355,61,15877,31,98184,11
m500,sequence,147,10820924,2811,2.937021491263991,111,267,535,2361,129,9328,31,25237,4,158003,0
m500,sequence,148,11781979,3050,3.1614923539931707,115,194,733,2074,150,8504,19,27349,9,176393,0
m500,sequence,149,10115079,2800,2.9208205345946743,102,115,573,1314,130,7153,15,22267,4,149493,0
m500,sequence,150,15720518,5344,5.252305320050241,156,260,1842,2000,494,10337,149,32650,56,216888,6
m500,sequence,151,4798697,1054,1.0965221896434205,51,125,248,1253,48,4548,18,16216,5,103820,0
m500,sequence,152,5935012,1029,1.0149645110023455,61,115,303,1424,132,5454,52,17303,15,106964,1
m500,sequence,153,6498230,3149,3.401885229024436,75,451,303,2208,65,7035,13,19811,6,126985,0
m500,sequence,169,6556876,2334,1.0117710938225495,63,11,2168,237,1748,1495,1161,4928,709,51301,203
m500,unassigned_anomaly,149:0,0,1,0.001081305440733442,1,0,0,0,0,0,0,0,0,0,0
replay,distance,0,75329674,14929,13.630815221968305,1956,1456,8269,3177,1922,10921,455,26104,103,163942,0
replay,distance,1,80729672,51218,44.07509312248174,1960,3348,23475,15784,14733,51959,6318,122891,3266,972367,602
replay,distance,2,28526437,16191,14.20720339651563,1960,2474,8927,10813,3442,29295,1224,63847,632,462782,140
replay,distance,3,6585100,4204,3.5497852687314158,1960,725,2194,2268,1256,8656,529,23035,257,170645,79
replay,distance,4,2621587,957,0.6627894225033305,1960,251,749,2074,491,8553,208,22752,114,135462,43
replay,normal_semantic,10,296404,0,0.0,526,79,0,82,0,141,0,269,0,1843,0
replay,normal_semantic,11,1183,0,0.0,134,0,0,0,0,0,0,2,0,9,0
replay,normal_semantic,15,29,0,0.0,11,0,0,0,0,0,0,0,0,0,0
replay,normal_semantic,18,1186,0,0.0,91,0,0,0,0,0,0,0,0,0,0
replay,normal_semantic,20,904,0,0.0,116,0,0,14,0,18,0,22,0,25,0
replay,normal_semantic,30,13403,0,0.0,135,0,0,0,0,0,0,6,0,41,0
replay,normal_semantic,31,6,0,0.0,2,0,0,0,0,0,0,0,0,0,0
replay,normal_semantic,32,5,0,0.0,3,2,0,2,0,2,0,2,0,2,0
replay,normal_semantic,40,188179854,0,0.0,1960,6875,0,31060,0,100250,0,242019,0,1846847,0
replay,normal_semantic,48,259333,0,0.0,76,1,0,34,0,222,0,704,0,12604,0
replay,normal_semantic,49,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
replay,normal_semantic,50,3953975,0,0.0,732,1267,0,2814,0,8038,0,14053,0,37323,0
replay,normal_semantic,51,175246,0,0.0,205,0,0,0,0,0,0,0,0,7,0
replay,normal_semantic,70,905135,0,0.0,639,30,0,110,0,713,0,1552,0,6492,0
replay,normal_semantic,71,1070,0,0.0,88,0,0,0,0,0,0,0,0,2,0
replay,normal_semantic,72,15,0,0.0,12,0,0,0,0,0,0,0,0,2,0
replay,normal_semantic,80,4718,0,0.0,130,0,0,0,0,0,0,0,0,1,0
replay,normal_semantic,81,3,0,0.0,2,0,0,0,0,0,0,0,0,0,0
replay,object,125:1,0,25871,18.126096525165366,210,0,22777,0,13042,0,4706,0,1845,0,148
replay,object,137:3,0,749,0.6946456424093509,46,0,296,0,122,0,48,0,7,0,0
