世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,A02,异常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,比例或比值,0.0,0.0,0.0,0.9993438570523923,0.006897784098752547,0.00011070694290684801,0.0008492535299580136,0.002714325166686393,0.00672988681553992,0.019939523729316552,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:frame_equal,0.00011070694290684801,0.00011070694290684801,0.0008492535299580136,0.0008492535299580136,0.002714325166686393,0.002714325166686393,0.00672988681553992,0.00672988681553992,0.019939523729316552,0.019939523729316552
全部,A02,异常点占回波比例,全部原始帧,全部,帧,统计单位等权,3592,3592,3592,3592,128,比例或比值,0.0,0.0,0.0,0.9993438570523923,0.006897784098752547,0.00011070694290684801,0.0008492535299580136,0.002714325166686393,0.00672988681553992,0.019939523729316552,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:observation_equal,0.00011070694290684801,0.00011070694290684801,0.0008492535299580136,0.0008492535299580136,0.002714325166686393,0.002714325166686393,0.00672988681553992,0.00672988681553992,0.019939523729316552,0.019939523729316552
全部,A02,异常点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,3592,3592,3592,3592,128,比例或比值,0.0,0.0,0.0,0.9993438570523923,0.006889590897361982,0.00011070694290684801,0.0008491634167819851,0.002712425997060185,0.006713317642598765,0.019866225017201925,0.0,无缺失,summary.json:全部:A02|anomaly_fraction|all_frames|all:sequence_equal,0.00011070694290684801,0.00011070694290684801,0.0008491634167819851,0.0008491634167819851,0.002712425997060185,0.002712425997060185,0.006713317642598765,0.006713317642598765,0.019866225017201925,0.019866225017201925
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,比例或比值,0.0,0.0,7.629452739355006e-06,0.16878251658930185,0.02512696868177926,0.005559343788857246,0.008125321413030578,0.011346391249990172,0.018003584854781658,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:frame_equal,0.005559343788857246,0.005559343788857246,0.008125321413030578,0.008125321413030578,0.011346391249990172,0.011346391249990172,0.018003584854781658,0.018003584854781658,0.11463922977618092,0.11463922977618092
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,统计单位等权,3592,3592,3592,3592,128,比例或比值,0.0,0.0,7.629452739355006e-06,0.16878251658930185,0.02512696868177926,0.005559343788857246,0.008125321413030578,0.011346391249990172,0.018003584854781658,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:observation_equal,0.005559343788857246,0.005559343788857246,0.008125321413030578,0.008125321413030578,0.011346391249990172,0.011346391249990172,0.018003584854781658,0.018003584854781658,0.11463922977618092,0.11463922977618092
全部,A02,忽略点占回波比例,全部原始帧,全部,帧,世界等权（同一背景）,3592,3592,3592,3592,128,比例或比值,0.0,0.0,7.629452739355006e-06,0.16878251658930185,0.025164188565890182,0.005559343788857246,0.008125321413030578,0.011387504112154263,0.018005869754898072,0.11463922977618092,0.0,无缺失,summary.json:全部:A02|ignore_fraction|all_frames|all:sequence_equal,0.005559343788857246,0.005559343788857246,0.008125321413030578,0.008125321413030578,0.011387504112154263,0.011387504112154263,0.018005869754898072,0.018005869754898072,0.11463922977618092,0.11463922977618092
全部,A02,忽略点数,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,数量,0.0,0.0,1.0,21671.0,3187.314587973274,693.0,1027.0,1371.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:frame_equal,693.0,693.0,1027.0,1027.0,1371.0,1371.0,2270.0,2270.0,14741.0,14741.0
全部,A02,忽略点数,全部原始帧,全部,帧,统计单位等权,3592,3592,3592,3592,128,数量,0.0,0.0,1.0,21671.0,3187.314587973274,693.0,1027.0,1371.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:observation_equal,693.0,693.0,1027.0,1027.0,1371.0,1371.0,2270.0,2270.0,14741.0,14741.0
全部,A02,忽略点数,全部原始帧,全部,帧,世界等权（同一背景）,3592,3592,3592,3592,128,数量,0.0,0.0,1.0,21671.0,3192.0992052801716,693.0,1027.0,1381.0,2270.0,14741.0,0.0,无缺失,summary.json:全部:A02|ignore|all_frames|all:sequence_equal,693.0,693.0,1027.0,1027.0,1381.0,1381.0,2270.0,2270.0,14741.0,14741.0
全部,A02,正常点占回波比例,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,比例或比值,0.0,0.0,0.000648513378449519,0.9949032585328148,0.9679752472194686,0.8821501929540645,0.9707169847961356,0.9825581863088199,0.9888853804862646,0.9928548281285815,0.0,无缺失,summary.json:全部:A02|normal_fraction|all_frames|all:frame_equal,0.8821501929540645,0.8821501929540645,0.9707169847961356,0.9707169847961356,0.9825581863088199,0.9825581863088199,0.9888853804862646,0.9888853804862646,0.9928548281285815,0.9928548281285815
