world,path,geometry,eligible_views,selected_frames,view_angle_span_all_deg,view_angle_span_selected_deg,nearest_selected_view_angle_max_deg,return_range_m_all_min,return_range_m_all_max,return_range_m_selected_min,return_range_m_selected_max,return_range_m_missing,return_range_m_span_fraction,return_range_m_outside_selected_interval,points_all_min,points_all_max,points_selected_min,points_selected_max,points_missing,points_span_fraction,points_outside_selected_interval,removed_background_returns_all_min,removed_background_returns_all_max,removed_background_returns_selected_min,removed_background_returns_selected_max,removed_background_returns_missing,removed_background_returns_span_fraction,removed_background_returns_outside_selected_interval,intensity_contrast_all_min,intensity_contrast_all_max,intensity_contrast_selected_min,intensity_contrast_selected_max,intensity_contrast_missing,intensity_contrast_span_fraction,intensity_contrast_outside_selected_interval
be68f45652f29d287b9d59f04056b4b79ef0c4fd191e35b46091ec17d3500049,train/branched_low_sparse_8,a0f85370e9bea43f51884676290f7294add9d69ee30b3ecf9eb4098aaad10cbe,159,316;388;391,45.12378113213154,29.682233847055862,11.363502860761484,4.504544734954834,46.302547454833984,4.73114013671875,19.40534782409668,0,0.3510743751494822,83,5.0,248.0,14.0,236.0,0,0.9135802469135802,74,5.0,248.0,14.0,236.0,0,0.9135802469135802,73,-0.3469083346025595,-0.03582143131643534,-0.14971428364515305,-0.10979195451097828,32,0.12833175782220554,103
bf1152376ca288a92dfd9b530777d5be6ee05caa1a9a833cad028510d6ca7ef4,train/sheet_raised_rough_7,bfb3858433e6170f7f1c3d66e80f936fb05506ee3d0a9978b481aabbf563a2fd,223,106;230;231,77.58218681929024,3.464377377655237,74.89224071541214,8.698179244995117,49.74838638305664,16.17409896850586,49.252620697021484,0,0.8058064510433469,107,5.0,234.0,5.0,40.0,0,0.15283842794759825,108,3.0,233.0,4.0,39.0,0,0.15217391304347827,110,-0.22614285846551258,-0.011619048813978829,-0.10290476220349472,-0.10290476220349472,94,0.0,128
bf86da8e7f65e32dc4d454390fd5e3e06d45d1d5caa8d0206dcb2bebe361abff,train/branched_raised_rough_6,84bc37e7e4161f81f6e64c76426b65f9af58f8012db0499bfa916005951f7497,179,10;181;185,88.6646913603652,80.86543209744055,40.88574709525184,6.344933032989502,41.51456832885742,11.585296630859375,37.008548736572266,0,0.7228750566173733,97,5.0,181.0,5.0,38.0,0,0.1875,91,4.0,181.0,5.0,38.0,0,0.1864406779661017,93,0.08566666829089324,0.680404756218195,0.33938831212845716,0.33938831212845716,22,0.0,156
c01e6a3c9cb08687a71f07fb54cecf303b8ccc74a2aabf4608c6fcd149dfa7e3,train/sheet_raised_rough_8,5c23c8e7992a7affc671a9f49d8fa52b08d80c26e18255700e1bc8f23d29697b,143,71;100;150,99.05801089368794,93.81883165087635,41.528731068088135,8.946027755737305,29.078655242919922,11.932255744934082,18.282020568847656,0,0.3153967274244822,103,5.0,145.0,9.0,113.0,0,0.7428571428571429,32,0.0,142.0,0.0,112.0,0,0.7887323943661971,13,0.014483520617851853,0.2960476204752922,0.15511786630377172,0.19026190810836852,71,0.12481719730033299,54
c3efe0692378b63b7a0c75010657788250118882a27fbefb89136e38219f1593,train/solid_low_smooth_8,d2e1e40b0b1f12f2dd547d9d7a1369c97c4b5608c54b83be67d54d9afc87651c,101,73;79;109,78.36559648104134,12.889284270153901,66.19193752113493,7.971251964569092,16.872648239135742,9.137799263000488,16.872648239135742,0,0.8689478299304018,46,5.0,25.0,5.0,15.0,0,0.5,51,5.0,25.0,5.0,15.0,0,0.5,51,-0.17981852514862345,0.0019591844507626105,-0.13767780870833296,-0.012380952636400863,0,0.6892861415630648,10
c404b546e4f79c890560bfebac029f85c5482a8a078961e537641120bc170135,train/branched_low_rough_5,50a217b44c61b7e465afc59c629044bfd26713e3ab4c235053ab723232ad28c5,27,80;86;104,32.200751887467334,24.721105817395987,8.811744537692707,10.717202186584473,13.246129035949707,10.794588088989258,13.246129035949707,0,0.9693997070638048,5,5.0,18.0,5.0,17.0,0,0.9230769230769231,1,2.0,17.0,2.0,15.0,0,0.8666666666666667,2,-0.15666666461361778,0.08392857713624835,-0.028336738469079137,0.08392857713624835,0,0.46661486232568,13
c76ca4387ea51447d055ac46cccc840b08e326b80fa6aacf75bbdbc0bd5dd853,train/branched_raised_rough_8,1015cc7872daba0324f196746ec6cddb01aff115fff8a79e03b385724119f645,99,2;77;98,135.9833426186556,134.98483221314189,49.126532230710524,5.402791976928711,10.509233474731445,5.9928669929504395,10.057441711425781,0,0.7959700938949951,56,18.0,479.0,18.0,390.0,0,0.806941431670282,50,18.0,479.0,18.0,391.0,0,0.8091106290672451,50,0.04309953906904676,0.18639796067561423,0.04309953906904676,0.18639796067561423,0,1.0,0
c947a10d6fee1d9d5242d2817a9ddfc29f0f7267b9e52c1d7c6f7a4428b8b2d1,train/sheet_low_smooth_7,773e5d84a87cc8c9997c39bcc141f3dc1dcf2cb814206f3921753d7ff1c6a99b,88,54;183;234,144.26784747185127,133.43111252832765,36.142536894853095,6.361408710479736,34.41459655761719,7.644468307495117,34.145240783691406,0,0.9446617126224544,46,5.0,514.0,5.0,269.0,0,0.518664047151277,44,0.0,514.0,0.0,273.0,0,0.5311284046692607,44,-0.02077150995991811,0.15039714482962152,0.0840918379170554,0.08638739959907628,9,0.013411110140716938,77
c9f464ad3102f7eb61545d61e7d22abee316d34c58b774ac482eb7938b2decf3,train/contacts_low_rough_8,7c79ffedc2f499f4b4441d1643413f881d6a70d9405eaf6e48036665fddd9f2e,212,229;334;410,22.080650185955957,21.860753142500506,9.593074995548337,4.9154157638549805,48.446224212646484,4.9354939460754395,47.22891616821289,0,0.9715744717190428,24,5.0,812.0,5.0,812.0,0,1.0,0,1.0,812.0,1.0,812.0,0,1.0,0,-0.22000348228749222,0.07773877488715308,-0.02919047667334477,-0.003376151082896385,52,0.08670024146188492,135
c9fdc457f798353c9b3f00957fc88d79043eb5aa7f70d20a9fae0bca03c542b1,train/contacts_raised_rough_8,d79b68ff9ed4cb0ff2dd45b6d4abc0e6c3576dbcd52c0a46790fc78d210d70ff,63,30;136;189,77.74668034078864,67.5826579185185,29.53925807435352,8.384151458740234,37.12281036376953,8.654812812805176,37.12281036376953,0,0.9905819768779268,19,5.0,67.0,5.0,31.0,0,0.41935483870967744,29,0.0,43.0,0.0,17.0,0,0.3953488372093023,36,-0.082284925132244,0.20345455611293967,-0.008258830465595501,0.10903741328400515,1,0.4105006533869661,21
