geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
39390f3830e0db2134d64da1ef502c0d74fb5d3b55ec48ff2dbc2e3c4f5b557a,1,11,11,11,11,11,11
3b953e51e37a0804f6096ed5701d2d3446286df08580055494c07b986dc736f8,2,11,11,11,11,11,11
3bd8a8100cb3f1077e79ba60ec2d619025f607783d417daa001043488899b0e0,1,11,11,11,11,11,11
3c0a3f9188cd572564cf5edfef023cc43fa40ad30c49a385a01edcc2cf702b2b,1,11,11,11,11,11,11
3d36e11d225229207a9fdcf3313dccbd12c768b8fbe0181ecfba51d75783cb01,1,11,11,11,11,11,11
3df5fa25259f3b26df4d5f86ef9f33952890da08bb801474d34ed40a2c42f640,1,11,11,11,11,11,11
3ec1fee4f8a99d1410bf7c6abdccf303f5fb84d242db0de740c8e6f9aeabef2e,1,11,11,11,11,11,11
40d7041320b60fa85b0e4b5b4489c93ba8ff33187a3dbd729af2323db73a4569,1,11,11,11,11,11,11
426b3028bb6ec01bb920bff469c0843cf29678292b01e57720b335d125ed3747,1,11,11,11,11,11,11
4428e9018617ca97f88a263a68da16dcd1212fdcf0a9d2ffdb7034c786175f82,1,11,11,11,11,11,11
45bb93b09b55128451fe3607e39ed31b04195300d1444f3a27c04de120e81622,1,11,11,11,11,11,11
481531f437d85629a6a67b07284a8f6daf028b541bf53fa3039ed1f92b12b406,1,11,11,11,11,11,11
49317dd9f001a2646e5fb40372222ef99e33e8651fe954b4785474ea150ed57d,1,11,11,11,11,11,11
49c4f5246a5dae5febfd166157618ef5672730c55e81c189ebf6e6f5855ff93e,1,11,11,11,11,11,11
49f0bb1fd7b4c0aa6bafb624d9fa0f4c2fdbef1044b113be4dfcc316365d8473,1,11,11,11,11,11,11
4b2829b62e17ade33dba489dd940d01feb17dc6dadfe0f3299db2a8fe09e2cfc,1,0,0,0,0,0,0
4c853db0ee4509b0eed7cbbd2db2eed2ad6324eff227be216e85d8da198a579a,1,11,11,11,11,11,11
4e54526c1ec7d7e7874ec360c8ec49045cfa6ddb0705f00219f406c55cd18920,1,11,11,11,11,11,11
4e86ba434dc1466f56e2242eba2efd42038435df93e9056a6145cf1e3a8991bd,1,11,11,11,11,11,11
4eb4acf32dd15980955040ec0bf0d47c1f3862ce6dd133a3c9caaa5d8ac8065f,1,11,11,11,11,11,11
5024014c5f8ab33c9713bf5019af7185e3213c2131c4bc9884f6f316ba51f15b,1,10,10,10,10,10,10
50a217b44c61b7e465afc59c629044bfd26713e3ab4c235053ab723232ad28c5,1,11,11,11,11,11,11
5168178bb6eec56f9892eb1b1cbd53efe41f879c919e644204bcb01bb9e56cf0,1,11,11,11,11,11,11
530b48893e48017b5b66d442abec0ed5d02cb67628b15832e5058d49dc17651a,1,11,11,11,11,11,11
53b4df56e6f5494f3bfd935ce7555d0ea94c98d3af35a5f098493dd977ca19ce,1,11,11,11,11,11,11
540121b94bef6ecadd0a46e5d2c803a6fa4f6d2ad2c8b3f0bfd1f7e9d8efae28,1,11,11,11,11,11,11
5512cdf8d4edc08c21cb4b05fa58c2f32a9c87e89ef2fe845268cd588f813de7,1,11,11,11,11,11,11
56913ac4d49a11cfd8559cc2c4a32b63f0ba8aec65788aea6b341ea2d6172dfe,1,11,11,11,11,11,11
56c168ff80312d148ad9cd032e383fe6696ab6e874ed233471c341f64ade5532,1,11,11,11,11,11,11
589c3f5cd0af9b84903ae5a8cc708706baebaa34b9a09bbdf7cdefb8c23b3551,1,11,11,11,11,11,11
